招聘单位,城市,位置,经度,维度,当前是否招聘,全职,保险情况,吃住情况,面试时间,试岗时间,岗位类型,性别,年龄要求,特殊要求,是否接受有犯罪记录,运力紧急情况,工作时间,相关经验,薪资,工作内容
白云石井站,广州,广州市白云区西槎路989号1栋101号,113.235771,23.181711,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
白云石井站,广州,广州市白云区西槎路989号1栋101号,113.235771,23.181711,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
白云凰岗站,广州,广州市白云区凰岗凤凰路296号1M019,113.223007,23.19458,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
白云凰岗站,广州,广州市白云区凰岗凤凰路296号1M019,113.223007,23.19458,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班理货员,男,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,7：00-19:00/ 8：00-20:00/ 9：00-21:00（做5休2/做六休一门店排班）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+绩效500+计件提成，综合薪资6000-8000元/月,超市货架空时，需要从库房拉货把货架补齐，在岗时，需要货架饱满状态，遇到缺货时，及时找主管进行订货
白云凰岗站,广州,广州市白云区凰岗凤凰路296号1M019,113.223007,23.19458,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
新市站,广州,广州市白云区棠涌黄沙岗南街欧PARK时空创业中心,113.258575,23.200998,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
新市站,广州,广州市白云区棠涌黄沙岗南街欧PARK时空创业中心,113.258575,23.200998,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
远景路站,广州,白云区远景路14号首层,113.253426,23.171923,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
鹤龙站,广州,白云区鹤龙街鹤泰路89号惠信楼101房,113.273415,23.215281,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
鹤龙站,广州,白云区鹤龙街鹤泰路89号惠信楼101房,113.273415,23.215281,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
白云夏茅站,广州,广州市白云区白云湖街道夏茅海口夏村园工业街48号之2，D3栋一楼,113.2565,23.217592,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
白云景泰站,广州,广州市白云区广园西路景泰西八巷39号一楼自编A5-A11,113.267693,23.164392,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
白云景泰站,广州,广州市白云区广园西路景泰西八巷39号一楼自编A5-A11,113.267693,23.164392,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
白云大道北二站,广州,广州市白云区丛云路982号,113.303024,23.218718,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
白云大道北二站,广州,广州市白云区丛云路982号,113.303024,23.218718,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
天河公园站,广州,广州天河区员村恒隆街1号途虎养车（员村店）对门,113.358086,23.122103,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
天河公园站,广州,广州天河区员村恒隆街1号途虎养车（员村店）对门,113.358086,23.122103,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,18~32,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,1,晚7早7、晚8早8、晚9早9。月休4-8天，一周排一次班 休息会安排在周中,无需经验，有经验者优先,2000-2400+1000绩效+780夜班补贴+计件提成=6500-8000,小象超市的搬运理货，整理货架，上架产品
天河体育东站,广州,广州市天河区体育东路体育东横街7-19号首，二，三层自编12号商铺,113.329819,23.129341,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
天河体育东站,广州,广州市天河区体育东路体育东横街7-19号首，二，三层自编12号商铺,113.329819,23.129341,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班理货员,男,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,7：00-19:00/ 8：00-20:00/ 9：00-21:00（做5休2/做六休一门店排班）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+绩效500+计件提成，综合薪资6000-8000元/月,超市货架空时，需要从库房拉货把货架补齐，在岗时，需要货架饱满状态，遇到缺货时，及时找主管进行订货
天河潭村站,广州,天河区花城大道100号地下一层B101房,113.335793,23.1171,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
天河潭村站,广州,天河区花城大道100号地下一层B101房,113.335793,23.1171,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
岗顶站,广州,广州市天河区龙口西路138号西北角首层自编101、105房,113.336922,23.137762,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班理货员,男,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,7：00-19:00/ 8：00-20:00/ 9：00-21:00（做5休2/做六休一门店排班）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+绩效500+计件提成，综合薪资6000-8000元/月,超市货架空时，需要从库房拉货把货架补齐，在岗时，需要货架饱满状态，遇到缺货时，及时找主管进行订货
华景新城站,广州,广州市天河区中山大道华景路粤生街90号首层自编102,113.361893,23.137655,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
动物园站,广州,广州市越秀区水荫路117号小象超市,113.311813,23.142551,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
动物园站,广州,广州市越秀区水荫路117号小象超市,113.311813,23.142551,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,18~32,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,1,晚7早7、晚8早8、晚9早9。月休4-8天，一周排一次班 休息会安排在周中,无需经验，有经验者优先,2000-2400+1000绩效+780夜班补贴+计件提成=6500-8000,小象超市的搬运理货，整理货架，上架产品
动物园站,广州,广州市越秀区水荫路117号小象超市,113.311813,23.142551,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
天河员村站,广州,广州市天河区员村白水塘41号168铺,113.366119,23.121149,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
越秀杨箕站,广州,越秀区新天地街1号、3号地下一B122房-1,113.311264,23.12627,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
越秀杨箕站,广州,越秀区新天地街1号、3号地下一B122房-1,113.311264,23.12627,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,18~32,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,1,晚7早7、晚8早8、晚9早9。月休4-8天，一周排一次班 休息会安排在周中,无需经验，有经验者优先,2000-2400+1000绩效+780夜班补贴+计件提成=6500-8000,小象超市的搬运理货，整理货架，上架产品
越秀杨箕站,广州,越秀区新天地街1号、3号地下一B122房-1,113.311264,23.12627,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
嘉禾望岗二站,广州,白云区嘉禾街望岗村加石路183号,113.270752,23.237595,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
嘉禾望岗二站,广州,白云区嘉禾街望岗村加石路183号,113.270752,23.237595,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
白云龙归站,广州,白云区龙兴西路14号首层08室,113.304321,23.275246,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,18~32,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,1,晚7早7、晚8早8、晚9早9。月休4-8天，一周排一次班 休息会安排在周中,无需经验，有经验者优先,2000-2400+1000绩效+780夜班补贴+计件提成=6500-8000,小象超市的搬运理货，整理货架，上架产品
东平站,广州,白云区嘉禾街道八一科技园3栋105-107号,113.303329,23.250418,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
东平站,广州,白云区嘉禾街道八一科技园3栋105-107号,113.303329,23.250418,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,18~32,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,1,晚7早7、晚8早8、晚9早9。月休4-8天，一周排一次班 休息会安排在周中,无需经验，有经验者优先,2000-2400+1000绩效+780夜班补贴+计件提成=6500-8000,小象超市的搬运理货，整理货架，上架产品
白云夏良站,广州,广州市白云区夏良永胜路360号D栋8号铺,113.314194,23.284258,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
白云大道北一站,广州,广州市白云区集贤路109号,113.301765,23.231161,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,18~32,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,1,晚7早7、晚8早8、晚9早9。月休4-8天，一周排一次班 休息会安排在周中,无需经验，有经验者优先,2000-2400+1000绩效+780夜班补贴+计件提成=6500-8000,小象超市的搬运理货，整理货架，上架产品
花都汽车城站,广州,广东省广州市花都区瑞云路2号瑞云大厦1楼01店面,113.180725,23.374693,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
花都东站,广州,广州市花都区迎宾大道129号一楼小象超市,113.245056,23.394276,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
花都东站,广州,广州市花都区迎宾大道129号一楼小象超市,113.245056,23.394276,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,18~32,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,1,晚7早7、晚8早8、晚9早9。月休4-8天，一周排一次班 休息会安排在周中,无需经验，有经验者优先,2000-2400+1000绩效+780夜班补贴+计件提成=6500-8000,小象超市的搬运理货，整理货架，上架产品
花都东站,广州,广州市花都区迎宾大道129号一楼小象超市,113.245056,23.394276,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
花都北新站,广州,广州市花都区秀全街茶碑路3号114室,113.183975,23.426786,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
花都北新站,广州,广州市花都区秀全街茶碑路3号114室,113.183975,23.426786,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,18~32,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,1,晚7早7、晚8早8、晚9早9。月休4-8天，一周排一次班 休息会安排在周中,无需经验，有经验者优先,2000-2400+1000绩效+780夜班补贴+计件提成=6500-8000,小象超市的搬运理货，整理货架，上架产品
花都区府站,广州,广州市花都区迎宾大道81号106铺,113.214006,23.401433,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
从化建设路站,广州,广州市从化区街口建设路220号商场C区C1-38号商铺,113.590032,23.539714,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
淘金站,广州,广东省广州市越秀区恒福路94号,113.287277,23.143497,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
淘金站,广州,广东省广州市越秀区恒福路94号,113.287277,23.143497,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班理货员,男,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,7：00-19:00/ 8：00-20:00/ 9：00-21:00（做5休2/做六休一门店排班）,无需经验，有经验者优先,固定薪资2340-2840+职级补贴0-700+绩效500+计件提成，综合薪资6000-8000元/月,超市货架空时，需要从库房拉货把货架补齐，在岗时，需要货架饱满状态，遇到缺货时，及时找主管进行订货
淘金站,广州,广东省广州市越秀区恒福路94号,113.287277,23.143497,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,夜班理货员,男,18~32,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,1,晚7早7、晚8早8、晚9早9。月休4-8天，一周排一次班 休息会安排在周中,无需经验，有经验者优先,2000-2400+1000绩效+780夜班补贴+计件提成=6500-8000,小象超市的搬运理货，整理货架，上架产品
淘金站,广州,广东省广州市越秀区恒福路94号,113.287277,23.143497,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
沙太站,广州,广州市天河区沙太公路侨乐街6号首层102,113.323334,23.163683,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
沙太站,广州,广州市天河区沙太公路侨乐街6号首层102,113.323334,23.163683,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,水产员,不限,18~32,有经验优先,否,0,早7:00晚7：30、早8:00晚8:30、早9:00晚9:30、早10:00晚10:30等班次，中间休息一小时。月休4-8天,优先做过厨房和后厨,2000-2400+920补助+2980绩效+职级工资(水产证初级500-中级1000-高级1500）=6000-7800,养鱼，杀鱼，捞虾(处理水产品)
越秀江湾站,广州,广州市越秀区越秀南路5号202、223-2114房,113.279655,23.117781,是,是,商业保险,不包吃住,周一至周五14：00~16：00,下午三点前,白班分拣员,女,18~35,不戴眼镜，手脚麻利接受低温工作，不要暑假工，需要进冷库，有经验优先,否,0,早7晚7/早8晚8/早9晚9（偶尔会有6:30、11:00的班次，一周排班一次，月休4-6天）,无需经验，有经验者优先,底薪2340+绩效400+生活补贴0-500+职级补贴(100-700)+计件薪资，综合6000-8000,用户在小象超市app上面下了订单，然后去货架上找东西装袋子里，放一边给骑手去配送
