区域,行政区,站点,全职分拣,全职白班,全职水产,全职夜班,夜班分拣,资深副站长,副站长,果切员,库管员,上架员,果蔬加工员,门店地址,面试联系人,联系方式,longitude,latitude
深圳12区,光明区,俊星站,,,,,,,,,,,,深圳市光明区马田街道合水口社区新时艺工业村3栋，中骏星文化创意园A栋,,,113.878548,22.783163
深圳4A区,罗湖区,聚宝站,2,,,,,,,,,,,深圳市罗湖区贝丽南路1号龙丽园大厦1-12号,,,114.16964,22.565971
深圳11区,宝安区,钜鑫站,,,,,,,,,,,,深圳市宝安区西乡街道南昌路60号13栋101室钜鑫产业园小象超市（钜鑫站）,,,113.842697,22.595963
深圳8A区,龙华区,桔塘站,,,,,,,,,,,,深圳市龙华新区福前路桔岭新村241号一层,,,114.025314,22.725779
深圳2区,龙岗区,景芬站,5,,,,,,,,,,,深圳市龙岗区龙河小区九州家园二期10栋商铺，大牛火锅（九州家园店）,,,114.130005,22.625856
深圳7区,龙华区,锦尚站,6,,,2,2,,1,0,,,,深圳市福田区香蜜湖街道竹园社区农林路41号深南综合市场142,,,114.047714,22.602551
深圳11A区,宝安区,锦花站,2,1,,,,,,1,,,,深圳市宝安区西乡街道锦花路38号天骄荟一楼,,,113.89241,22.586428
深圳13区,宝安区,锦程站,1,,,,,,,,,,,深圳市南山区蛇口街道联合工业村B栋蛇口荣村工业小区4栋二楼,,,113.78643,22.736301
深圳10区,南山区,金雅站,4,,,,2,,,,,,,深圳市南山区南头街道南新路3083号大新商厦一层26，荔香站在大新商厦 一楼 欢乐颂商场的正对面,,,113.91732,22.522806
深圳11区,宝安区,金荔站,,,,,2,,,,,,,深圳市宝安区福永街道兴围社区工业一路6号102,,,113.833038,22.639511
深圳13区,宝安区,建安站,3,,,,1,,,,,,,深圳市南山区深南电路华侨城创意园（深南电路大厦）,,,113.792252,22.688925
惠州1A区,坪山区,吉祥站,3,,,,,,,,,,,深圳市宝安区40区甲岸路18号安乐工业园2号厂107、108、109号,,,114.372171,22.742208
深圳4区,罗湖区,汇泰站,6,,,,,,,,,,,深圳市罗湖区文锦北路英达花园,,,114.124698,22.535046
深圳2区,龙岗区,华裕站,,,,,2,,,,,,,深圳市宝安区立岗北路10号宏友智能1楼（珍珠奶茶原料批发旁边）,,,114.239075,22.74836
深圳7区,龙华区,华信站,2,,,,,,,,,,,深圳市龙华区大浪街道华宁路华联工业区华联丰大厦1层103室,,,113.998589,22.672941
深圳8区,龙岗区,华赛站,8,,1,,2,,,,,3,,深圳市龙岗区坂田街道吉华路新天下华赛工业厂区4号宿舍1层 ）,,,114.075211,22.644003
深圳7区,龙华区,华明站,2,,2,,,,,,,,,深圳市龙华区百易广场B座一楼,,,114.024689,22.675881
深圳10区,福田区,华茂站,6,1,4,,2,,,,,,,广东省深圳市宝安区日富路46号101号,,,114.056267,22.56422
